"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 01, 2017","1,267.00","1,268.00","1,269.20","1,260.80","0.83K","-0.39%"
"May 31, 2017","1,272.00","1,262.40","1,273.20","1,258.50","2.71K","0.78%"
"May 30, 2017","1,262.10","1,267.40","1,270.00","1,258.40","129.82K","-0.36%"
"May 29, 2017","1,266.69","1,268.02","1,268.60","1,264.96","-","-0.12%"
"May 28, 2017","1,268.22","1,266.31","1,269.02","1,266.31","-","0.05%"
"May 26, 2017","1,267.60","1,267.60","1,267.60","1,267.60","0.00K","0.94%"
"May 25, 2017","1,255.80","1,257.10","1,258.30","1,256.20","0.01K","0.27%"
"May 24, 2017","1,252.40","1,251.90","1,257.80","1,249.70","0.01K","-0.19%"
"May 23, 2017","1,254.80","1,261.50","1,261.60","1,250.60","0.02K","-0.47%"
"May 22, 2017","1,260.70","1,251.70","1,252.00","1,251.70","0.01K","0.64%"
"May 19, 2017","1,252.70","1,252.70","1,252.70","1,252.70","0.03K","0.08%"
"May 18, 2017","1,251.70","1,254.80","1,260.00","1,245.80","0.04K","-0.46%"
"May 17, 2017","1,257.50","1,241.00","1,259.20","1,240.70","0.03K","1.82%"
"May 16, 2017","1,235.00","1,230.40","1,237.30","1,230.40","0.02K","0.52%"
"May 15, 2017","1,228.60","1,227.50","1,232.70","1,227.50","0.01K","0.20%"
"May 12, 2017","1,226.20","1,228.00","1,229.50","1,226.10","0.03K","0.29%"
"May 11, 2017","1,222.70","1,218.50","1,220.00","1,218.30","0.01K","0.44%"
"May 10, 2017","1,217.30","1,219.80","1,220.20","1,217.80","0.02K","0.25%"
"May 09, 2017","1,214.30","1,226.10","1,226.20","1,214.00","0.06K","-0.90%"
"May 08, 2017","1,225.30","1,224.00","1,234.00","1,224.00","0.04K","0.04%"
"May 05, 2017","1,224.80","1,227.00","1,233.70","1,225.10","0.02K","-0.14%"
"May 04, 2017","1,226.50","1,239.80","1,239.80","1,224.20","0.07K","-1.60%"
"May 03, 2017","1,246.40","1,255.10","1,255.80","1,238.70","0.20K","-0.69%"
"May 02, 2017","1,255.10","1,256.20","1,256.20","1,251.20","0.09K","0.14%"
"May 01, 2017","1,253.30","1,268.70","1,269.30","1,254.00","0.03K","-1.01%"
"Apr 28, 2017","1,266.10","1,265.90","1,267.20","1,264.70","0.09K","0.19%"
"Apr 27, 2017","1,263.70","1,266.70","1,267.20","1,262.20","0.21K","0.13%"
"Apr 26, 2017","1,262.10","1,266.00","1,266.00","1,262.40","0.10K","-0.28%"
"Apr 25, 2017","1,265.60","1,275.60","1,276.90","1,262.10","0.36K","-0.80%"
"Apr 24, 2017","1,275.80","1,275.00","1,276.40","1,265.00","0.61K","-0.90%"
"Apr 21, 2017","1,287.40","1,279.80","1,287.00","1,279.20","0.47K","0.43%"
"Apr 20, 2017","1,281.90","1,279.70","1,281.50","1,276.20","0.13K","0.04%"
"Apr 19, 2017","1,281.40","1,288.00","1,288.00","1,274.00","0.19K","-0.80%"
"Apr 18, 2017","1,291.70","1,283.90","1,290.60","1,278.60","0.39K","0.18%"
"Apr 17, 2017","1,289.40","1,291.80","1,294.80","1,284.30","0.07K","-0.02%"
"Apr 14, 2017","1,289.65","1,289.65","1,289.65","1,289.65","-","0.29%"
